studentikoos	studentikoze
lit	
wassen	
modieus	modieuze
Italiaanse	
kachel	
dier	
trans	
aangenaam	aangename
hel	
waar	
Siciliaans	
ferm	ferme
wrak	
nobel	nobele
aardrijkskundig	aardrijkskundige
aardvast	(aardvaste)
rad	
aardewerk	
zeebestendig	zeebestendige
zeegaand	zeegaande
hoorbaar	hoorbare
zeeziek	zeezieke
zeegroen	
schijnheilig	schijnheilige
uit	
audiovisueel	audiovisuele
bedreven	
zeevaartkundig	zeevaartkundige
zeevarend	zeevarende
vreemd	vreemde
zeevers	zeeverse
zeewaardig	zeewaardige
subtiel	subtiele
zeewaarts	zeewaartse
dagelijks	dagelijkse
Filipijns	
aards	aardse
zout	
cis	
anorganisch	anorganische
graag	grage
experimenteel	experimentele
heel	hele
fade	
jong	jonge
briljant	briljante
visueel	visuele
in	
blauw	
zichtbaar	zichtbare
vlot	
gans	
geldig	geldige
tamelijk	tamelijke
economisch	economische
aarden	
dolfijn	
bar	
aardig	aardige
herbivoor	
Turkmeens	
kwaad	kwade
daas	
kunstmatig	kunstmatige
olijfkleurig	olijfkleurige
astronomisch	astronomische
wit	
hemelsblauw	
blank	blanke
paar	
Wepsisch	
snel	snelle
scheikundig	scheikundige
oneindig	oneindige
extra	
mono	
aandachtig	aandachtige
grijs	
Ossetisch	
formica	
dankbaar	dankbare
taupe	
goedkoop	goedkope
kort	korte
actief	actieve
actueel	actuele
grauw	
antibacterieel	antibacteriële
asociaal	asociale
momenteel	momentele
loodrecht	loodrechte
bijwoordelijk	bijwoordelijke
lam	
gek	
laks	lakse
mal	malle
teer	
leeg	lege
ander	
licht	
afzonderlijk	afzonderlijke
zwak	zwakke
uitvoerbaar	uitvoerbare
dichtbij	
groen	
hoogstaand	hoogstaande
vijl	
vroeger	vroegere
onwaar	onware
nauw	nauwe
gulden	
anoniem	anonieme
vrijmoedig	vrijmoedige
succesvol	succesvolle
gedwongen	gedwongenste
lang	lange
bot	
broos	broze
pas	
precies	precieze
vals	valse
fijn	fijne
trouw	
koel	koele
elektrisch	elektrische
financieel	financiële
marine	
mager	magere
baar	
alledaags	alledaagse
lui	luie
ervaren	(ervarene)
gelukkig	gelukkige
abuis	
koud	koude
eeuwig	eeuwige
antecedent	
akkoord	
kleurloos	kleurloze
bol	
uiteindelijk	uiteindelijke
gemakkelijk	gemakkelijke
bankroet	
vlaskleurig	vlaskleurige
vleeskleurig	vleeskleurige
filiaal	
jaarlijks	jaarlijkse
geelbruin	geelbruine
roodharig	roodharige
purperen	
zalmkleurig	zalmkleurige
strogeel	strogele
goudgeel	
beurs	
aanvullend	aanvullende
karmozijnrood	
karmijnrood	
olijfgroen	
zwartbruin	
kobaltblauw	
wijnrood	
magenta	
ultramarijn	
turkoois	
cyaan	
stroblond	stroblonde
marineblauw	
violet	
scharlakenrood	
kanariegeel	
vermiljoen	
gewoon	gewone
volwassen	(volwassenere)
aso	
zuur	
beminnelijk	beminnelijke
straf	
onrijp	onrijpe
aluminium	
oker	
bestand	
goudbruin	goudbruine
vrijwillig	vrijwillige
ver	verre
chemisch	chemische
roze	
mondeling	mondelinge
slank	slanke
vet	vette
uitwendig	uitwendige
inwendig	inwendige
naast	naaste
vrijgevig	vrijgevige
generaal	
blond	blonde
oranje	
minderjarig	minderjarige
lila	
enig	enige
joods	joodse
verbaal	verbale
week	
alternatief	alternatieve
onkundig	onkundige
vriendschappelijk	vriendschappelijke
onvoldaan	onvoldane
draadloos	draadloze
gewond	
nutteloos	nutteloze
rechter	
onpartijdig	onpartijdige
intelligent	intelligente
toevallig	toevallige
hot	
krachtig	krachtige
geel	gele
rechts	rechtse
bom	
kreupel	kreupele
kardinaal	
ideaal	
wond	
gereed	
warm	warme
industrieel	industriële
rood	
agressief	agressieve
onmiddellijk	onmiddellijke
duur	dure
bitter	bittere
vermoeid	
onvoorzichtig	onvoorzichtige
onafhankelijk	onafhankelijke
meerderjarig	meerderjarige
geheel	
moe	
breed	brede
nederig	nederige
oosters	oosterse
aanstaand	
middelmatig	middelmatige
slecht	slechte
Nicaraguaans	Nicaraguaanse
gratis	
onmogelijk	onmogelijke
hatelijk	hatelijke
normaal	normale
donker	
Europees	Europese
grof	grove
partijdig	partijdige
soortgelijk	soortgelijke
gedeeltelijk	
onbewust	onbewuste
kies	
linnen	
mannelijk	mannelijke
katholiek	katholieke
onschuldig	onschuldige
gecompliceerd	
vrolijk	vrolijke
onrustig	onrustige
onzichtbaar	onzichtbare
hoog	hoge
zwart	
gierig	gierige
godslasterlijk	godslasterlijke
schadelijk	schadelijke
aanhangig	aanhangige
oud	oude
aartsvaderlijk	aartsvaderlijke
aanhoudend	aanhoudende
belendend	belendende
nationaal	nationale
laag	
internationaal	internationale
optimaal	optimale
achtereenvolgend	achtereenvolgende
volledig	volledige
begaan	
juist	juiste
noodzakelijk	noodzakelijke
collectief	
hol	holle
doorslaggevend	doorslaggevende
geschikt	
creools	creoolse
onsterfelijk	onsterfelijke
plotseling	plotselinge
helder	heldere
persoonlijk	persoonlijke
recht	
kennelijk	
lauw	lauwe
notoir	notoire
krom	kromme
rustig	rustige
trots	trotse
ontevreden	ontevredenste
huwelijk	
natuurlijk	natuurlijke
eenarmig	eenarmige
duister	duistere
afschuwelijk	afschuwelijke
hartelijk	hartelijke
maandelijks	maandelijkse
opmerkelijk	opmerkelijke
kant	
rouw	
kleinzielig	kleinzielige
weerkundig	weerkundige
voorbij	voorbije
bewolkt	
stapel	
genoeglijk	genoeglijke
militair	
duidelijk	duidelijke
voorbijgaand	voorbijgaande
officieel	officiële
belangrijk	belangrijke
aanvallig	aanvallige
bruin	
astmatisch	astmatische
bevallig	bevallige
redelijk	redelijke
aanbevelenswaardig	aanbevelenswaardige
volhardend	volhardende
platina	
gevaarlijk	gevaarlijke
achterdochtig	achterdochtige
productief	productieve
lelijk	lelijke
schuldig	schuldige
na	naë
genezen	
mineraal	
zwanger	zwangere
schoon	schone
verontrustend	verontrustende
problematisch	problematische
pover	povere
kritisch	kritische
voorbereidend	
pet	
vierde	
ondankbaar	ondankbare
bekend	bekende
spoedig	spoedige
tweedehands	tweedehandse
algemeen	algemene
goddelijk	goddelijke
voortdurend	voortdurende
nat	natte
stom	stomme
zorgvuldig	zorgvuldige
half	
regionaal	regionale
naar	nare
voordelig	voordelige
nodig	nodige
zacht	zachte
laat	late
schurft	
bijzonder	bijzondere
achteloos	achteloze
werelds	wereldse
praktisch	praktische
spits	
linkshandig	linkshandige
modern	moderne
ziek	zieke
long	
zonde	
plat	platte
scheel	schele
zwaar	zware
openbaar	openbare
sociaal	sociale
scheef	scheve
vijfde	
slof	
protestant	
abnormaal	abnormale
aanwezig	aanwezige
mis	
zeker	zekere
volgend	volgende
zeer	
aanvankelijk	aanvankelijke
onderzees	onderzeese
geleerd	geleerde
bijgelovig	bijgelovige
strooien	
aansprakelijk	aansprakelijke
droog	droge
net	
oprecht	oprechte
ernstig	ernstige
eenogig	eenogige
voldaan	voldane
smal	smalle
spade	
vermoedelijk	vermoedelijke
dringend	
bedroefd	bedroefde
droevig	droevige
langzaam	langzame
rijk	rijke
ademloos	ademloze
voortreffelijk	voortreffelijke
aanzienlijk	aanzienlijke
waterpas	
achtenswaardig	achtenswaardige
afmattend	afmattende
eigen	eigenere
absent	absente
afgezaagd	afgezaagde
zesde	
blind	blinde
verantwoordelijk	verantwoordelijke
centraal	centrale
tweede	
afkeurenswaardig	afkeurenswaardige
uitstekend	
afvallig	afvallige
afwijzend	afwijzende
Algerijns	Algerijnse
aangetast	
afzichtelijk	afzichtelijke
dwaas	
Algiers	
derde	
politiek	
ambtelijk	ambtelijke
scrupuleus	scrupuleuze
bewerkelijk	bewerkelijke
armoedig	armoedige
dof	doffe
atletisch	atletische
arglistig	arglistige
arbeidzaam	arbeidzame
totaal	totale
aristocratisch	aristocratische
Argentijns	Argentijnse
atmosferisch	atmosferische
attent	attente
almachtig	almachtige
Aziatisch	Aziatische
voorzichtig	voorzichtige
universeel	universele
alcoholvrij	alcoholvrije
baatzuchtig	baatzuchtige
Amerikaans	Amerikaanse
argeloos	argeloze
onbaatzuchtig	onbaatzuchtige
baldadig	baldadige
baanbrekend	baanbrekende
artistiek	artistieke
vochtig	vochtige
ondeugend	ondeugende
nors	norse
tijdelijk	tijdelijke
vuil	vuile
barbaars	barbaarse
afgedragen	
bandeloos	bandeloze
bewust	bewuste
toeristisch	toeristische
barmhartig	barmhartige
afgelegen	afgelegenste
afgezonderd	afgezonderde
nuttig	nuttige
allerbest	allerbeste
klaar	klare
streng	
zinken	
aanhalig	aanhalige
bars	barse
amechtig	amechtige
vasthoudend	vasthoudende
aangedaan	aangedane
aankomend	aankomende
aanstotelijk	aanstotelijke
achterwaarts	achterwaartse
aantrekkelijk	aantrekkelijke
apart	aparte
verafgelegen	
negatief	negatieve
afgrijselijk	afgrijselijke
afgunstig	afgunstige
afgeleefd	afgeleefde
aangetrouwd	aangetrouwde
algeheel	algehele
aanlokkelijk	aanlokkelijke
afwisselend	afwisselende
achttiende	
aartsdom	aartsdomme
af	(alleen
neutraal	neutrale
verwant	verwante
waarschijnlijk	waarschijnlijke
aanverwant	
aanschouwelijk	aanschouwelijke
stijf	stijve
leren	
Australisch	Australische
diep	diepe
mogelijk	mogelijke
toekomstig	toekomstige
armzalig	armzalige
vroeg	vroege
ellendig	ellendige
esdoorn	
onpeilbaar	onpeilbare
openlijk	openlijke
stampvol	stampvolle
verachtelijk	verachtelijke
averechts	averechtse
kunstzinnig	kunstzinnige
verschuldigd	verschuldigde
inheems	inheemse
bovengenoemd	bovengenoemde
aanstekelijk	aanstekelijke
arrogant	arrogante
misdadig	misdadige
bebloed	bebloede
rond	ronde
werkloos	werkloze
ongehuwd	ongehuwde
angstig	angstige
afwezig	afwezige
asgrauw	asgrauwe
beeldig	beeldige
bedaard	bedaarde
bedlegerig	bedlegerige
twijfelachtig	twijfelachtige
berijdbaar	berijdbare
beducht	beduchte
beeldrijk	beeldrijke
bedrukt	bedrukte
begerig	begerige
begaafd	begaafde
begrijpelijk	begrijpelijke
achterlijk	achterlijke
behept	behepte
afhankelijk	afhankelijke
behaagziek	behaagzieke
allerminst	allerminste
behendig	behendige
aan	
behoudend	behoudende
adellijk	adellijke
bekaaid	
afdoend	
beklagenswaardig	beklagenswaardige
vol	volle
bejaard	bejaarde
bekoorlijk	bekoorlijke
speciaal	speciale
bekommerd	bekommerde
aangebrand	aangebrande
alleen	
bekrompen	bekrompenste
belangwekkend	belangwekkende
belanghebbend	belanghebbende
belangeloos	belangeloze
bekwaam	bekwame
beleidvol	beleidvolle
belegen	
aannemelijk	aannemelijke
acuut	acute
achtste	
afwijkend	afwijkende
onthutst	onthutste
benauwend	benauwende
ouderwets	ouderwetse
benard	benarde
bemoedigend	bemoedigende
achterbaks	achterbakse
amusant	amusante
abstract	abstracte
benieuwd	benieuwde
bereidwillig	bereidwillige
bereden	
dienstwillig	dienstwillige
berispelijk	berispelijke
nieuwsgierig	nieuwsgierige
berooid	berooide
aanmatigend	aanmatigende
beschimmeld	
aangeschoten	
beschamend	beschamende
beschroomd	beschroomde
berouwvol	berouwvolle
bereikbaar	bereikbare
behaaglijk	behaaglijke
beslagen	
genoemd	genoemde
beladen	
interessant	interessante
beroemd	beroemde
besmet	
publiek	
bestuurbaar	bestuurbare
welgesteld	welgestelde
beheerst	
betamelijk	betamelijke
belezen	belezenste
bestendig	bestendige
semantisch	semantische
achterstallig	achterstallige
bevaarbaar	bevaarbare
bevoegd	bevoegde
bevredigend	bevredigende
bevolkt	bevolkte
bevooroordeeld	bevooroordeelde
bevorderlijk	bevorderlijke
bevreesd	
beweeglijk	beweeglijke
beweegbaar	beweegbare
woelig	woelige
behaard	behaarde
avontuurlijk	avontuurlijke
bevriend	bevriende
terneergeslagen	terneergeslagenste
verplicht	verplichte
bewoonbaar	bewoonbare
bewonderenswaardig	bewonderenswaardige
bezienswaardig	bezienswaardige
beproefd	
bezadigd	bezadigde
automatisch	automatische
befaamd	befaamde
bezweet	
bijgaand	bijgaande
bijgevoegd	
conservatief	conservatieve
begaanbaar	begaanbare
genetisch	genetische
bijtend	
bijkomstig	bijkomstige
tijdig	tijdige
aangeslagen	aangeslagenste
bedachtzaam	bedachtzame
wrang	wrange
open	
absurd	absurde
bisschoppelijk	bisschoppelijke
dood	
Indo-Europees	Indo-Europese
bijziend	bijziende
zoet	zoete
berucht	beruchte
beperkt	beperkte
infantiel	infantiele
alcoholisch	alcoholische
apocrief	apocriefe
hulpvaardig	hulpvaardige
rechtvaardig	rechtvaardige
bemiddeld	bemiddelde
min	
belachelijk	belachelijke
absoluut	absolute
handig	handige
beschaafd	
besmettelijk	besmettelijke
bits	bitse
bespottelijk	bespottelijke
elegant	elegante
aangrijpend	
aangrijpend	
verontwaardigd	
waterecht	waterechte
waterbestendig	waterbestendige
beteuterd	beteuterde
concaaf	concave
hydrofoob	hydrofobe
convex	convexe
betreffend	betreffende
waterafstotend	waterafstotende
ongerust	ongeruste
behouden	
stretch	
betaalbaar	betaalbare
behoeftig	behoeftige
heraldiek	
laconiek	laconieke
ontroerd	ontroerde
polyinterpretabel	polyinterpretabele
gunstig	gunstige
beschonken	
bescheiden	bescheidenste
teleurgesteld	
bezig	bezige
blak	blakke
bevestigend	
beknopt	beknopte
behulpzaam	behulpzame
rijp	
aberrant	aberrante
bedenkelijk	
wetenschappelijk	wetenschappelijke
abdominaal	abdominale
accidenteel	accidentele
handgemeen	(alleen
verlegen	verlegenste
additioneel	additionele
alimentair	alimentaire
allergisch	allergische
anorectaal	anorectale
anafylactisch	anafylactische
anterograad	anterograde
bewusteloos	bewusteloze
angineus	angineuze
antiangineus	antiangineuze
anti-oestrogeen	anti-oestrogene
anionisch	anionische
angstvallig	angstvallige
anti-inflammatoir	anti-inflammatoire
antiallergisch	antiallergische
antifungisch	antifungische
anti-infectieus	anti-infectieuze
anogenitaal	anogenitale
aquosus	
behoedzaam	behoedzame
aeroob	aerobe
antimicrobieel	antimicrobiële
arteriolair	
adult	
gereserveerd	
antiprurigineus	antiprurigineuze
aritmogeen	aritmogene
antiviraal	antivirale
adolescent	
bevroren	
articulair	articulaire
ambulant	ambulante
antidiuretisch	antidiuretische
atrioventriculair	atrioventriculaire
aspecifiek	aspecifieke
atopisch	atopische
auraal	
auriculair	auriculaire
arterieel	arteriële
arterioveneus	arterioveneuze
watervast	watervaste
cardiorespiratoir	
bronchopulmonair	bronchopulmonaire
bacteriologisch	bacteriologische
beleefd	beleefde
cardiotonisch	
cardioselectief	
biochemisch	biochemische
discreet	discrete
caudaal	
bactericide	
bronchiaal	bronchiale
cardiaal	cardiale
cerebrovasculair	cerebrovasculaire
bindend	
colorectaal	colorectale
cholinerg	cholinerge
cervicaal	cervicale
bijpassend	bijpassende
causaal	causale
conjugatus	
clonisch	clonische
collageen	
beschermend	
basaal	basale
colloïdaal	colloïdale
complementair	complementaire
carcinogeen	carcinogene
stoffig	stoffige
chromosomaal	chromosomale
cumulatief	cumulatieve
antitumoraal	antitumorale
cytotoxisch	cytotoxische
competitief	competitieve
billijk	billijke
dendritisch	dendritische
constitutioneel	constitutionele
diurnus	
cutaan	cutane
degeneratief	degeneratieve
diastolisch	diastolische
distaal	distale
dermatologisch	dermatologische
ectopisch	
enteric-coated	
epigastrisch	
elektrofysiologisch	elektrofysiologische
endotoxisch	
extracorporaal	
extravasaal	
epifysair	epifysaire
dubbelblind	dubbelblinde
dorsaal	
empirisch	empirische
febriel	febriele
biologisch	biologische
gonadotroop	
glomerulair	
gastroduodenaal	gastroduodenale
exclusief	exclusieve
farmaceutisch	farmaceutische
filmcoated	
fungistatisch	fungistatische
gonadaal	
gastro-intestinaal	gastro-intestinale
galenisch	galenische
aangebracht	
foetotoxisch	foetotoxische
ferriprief	
foetaal	foetale
fysiologisch	fysiologische
gastro-oesofageaal	gastro-oesofageale
geriatrisch	geriatrische
hematologisch	hematologische
anovulair	
habitueel	habituele
grampositief	grampositieve
fysisch	fysische
adstringerend	adstringerende
genitaal	genitale
endemisch	endemische
anhydrisch	anhydrische
atypisch	atypische
antiproliferatief	antiproliferatieve
auto-immuun	
atriaal	atriale
buccofaryngeaal	
antitrombotisch	antitrombotische
anabool	anabole
antineoplastisch	antineoplastische
biliair	biliaire
bulbair	
betrokken	betrokkenste
approximaal	approximale
atoxisch	atoxische
benigne	
antidopaminergisch	
auditief	auditieve
aseptisch	aseptische
cardiotoxisch	
chronotroop	
cerebellair	
buccaal	buccale
aromatisch	aromatische
cerebrospinaal	cerebrospinale
clitoraal	
cardiogeen	cardiogene
cardiovasculair	cardiovasculaire
bilateraal	bilaterale
concomiterend	
corticaal	corticale
cardiologisch	cardiologische
akelig	akelige
cochleair	cochleaire
chirurgisch	chirurgische
cardiopulmonaal	cardiopulmonale
craniaal	craniale
cerebraal	cerebrale
congenitaal	congenitale
dependent	dependente
enterohepatisch	
coronair	coronaire
beschaamd	
electief	electieve
capillair	
curatief	curatieve
endogeen	endogene
extrapiramidaal	
femoralis	
flaccidus	
epiduraal	epidurale
epidemiologisch	epidemiologische
exocrien	exocriene
cognitief	cognitieve
extrarenaal	extrarenale
endocrien	endocriene
foetoplacentaal	
extracellulair	extracellulaire
fibrinolytisch	fibrinolytische
energetisch	energetische
fallisch	fallische
farmacologisch	farmacologische
epidermaal	
hepatobiliair	
exogeen	exogene
genito-urinair	
hepatocellulair	
compatibel	compatibele
hemopontisch	
elastisch	elastische
hermetisch	hermetische
humeralis	
faciaal	faciale
hepatisch	hepatische
digestief	
hyperbaar	hyperbare
hepatotoxisch	hepatotoxische
humeroscapulair	
hypofysair	
humoraal	humorale
histologisch	histologische
hormonaal	hormonale
homoloog	homologe
hypotensief	
hypothalamisch	
hypodermaal	hypodermale
extern	externe
aandoenlijk	aandoenlijke
immunologisch	immunologische
hydrofiel	hydrofiele
homogeen	homogene
bijdehand	bijdehante
bifasisch	bifasische
iatrogeen	iatrogene
inguinaal	
inadequaat	inadequate
inactief	inactieve
immuun	immune
intestinaal	intestinale
incidenteel	incidentele
inoperabel	inoperabele
intercostaal	intercostale
intervertebraal	
inotroop	inotrope
individueel	individuele
vies	vieze
gradueel	graduele
hypnotisch	hypnotische
echt	
intact	intacte
immunogeen	
idiopathisch	idiopathische
interindividueel	interindividuele
intrathecaal	
intravasaal	intravasale
intraoculair	intraoculaire
incompatibel	incompatibele
intra-individueel	intra-individuele
interstitieel	interstitiële
intramusculair	intramusculaire
kristalurie	
isotonisch	isotonische
incisief	
intermitterend	intermitterende
intermediair	
irreversibel	irreversibele
kinetisch	kinetische
juveniel	juveniele
intraveneus	intraveneuze
lacrimaal	lacrimale
invasief	invasieve
beslist	
leukocytair	
inherent	inherente
lenticulair	
mammair	
intrinsiek	intrinsieke
megaloblastair	
limbisch	limbische
lymfocytair	
maculopapuleus	
maligne	
locomotorisch	locomotorische
luetisch	luetische
lytisch	
maxillair	maxillaire
initiaal	
lumbaal	lumbale
lipofiel	lipofiele
manisch	manische
latent	latente
klinisch	klinische
mesentericus	
letaal	letale
bezet	
medicinaal	medicinale
mengbaar	mengbare
microsomaal	microsomale
lateraal	laterale
masticatoir	masticatoire
locoregionaal	
microbiologisch	microbiologische
miotisch	miotische
nasolacrimaal	nasolacrimale
mucocutaan	mucocutane
massief	massieve
mucociliair	mucociliaire
asymptomatisch	asymptomatische
moeilijk	moeilijke
medisch	medische
microscopisch	microscopische
mucopurulent	mucopurulente
lineair	lineaire
comateus	comateuze
multipel	multipele
motorisch	motorische
medullair	
mycotisch	mycotische
minimaal	minimale
myelotoxisch	myelotoxische
musculair	musculaire
intern	interne
neuraal	neurale
moleculair	moleculaire
getrouwd	
autonoom	
nadelig	nadelige
nocturnus	
artificieel	artificiële
nefrotisch	nefrotische
neurovegetatief	neurovegetatieve
nodeus	
nefrotoxisch	nefrotoxische
neuronaal	neuronale
normotensief	normotensieve
mycologisch	mycologische
neuromusculair	neuromusculaire
nosocomiaal	nosocomiale
neurotoxisch	neurotoxische
neurotisch	neurotische
neurologisch	neurologische
stout	stoute
oculomotoor	oculomotore
oculogyrisch	oculogyrische
neoplastisch	neoplastische
hydroalcoholisch	
mutageen	
occasioneel	occasionele
obstetrisch	obstetrische
oftalmisch	oftalmische
neonataal	
occult	occulte
opalescent	opalescente
oftalmologisch	oftalmologische
ovariaal	
orofaciaal	orofaciale
oncotisch	oncotische
opportunistisch	opportunistische
osmotisch	osmotische
neutrofiel	
palpebraal	palpebrale
nummulair	nummulaire
orthostatisch	orthostatische
papillair	
oxytocisch	oxytocische
orthopedisch	orthopedische
pelvicus	
optisch	optische
perineaal	perineale
paraveneus	paraveneuze
alkalisch	alkalische
oraal	orale
peptisch	peptische
percutaan	percutane
parenteraal	parenterale
pediatrisch	pediatrische
ototoxisch	ototoxische
persistens	
perianaal	perianale
paroxismaal	paroxismale
parasitair	parasitaire
nasaal	
periorbitaal	periorbitale
peroraal	perorale
oculair	oculaire
kwalitatief	kwalitatieve
posttraumatisch	posttraumatische
orbitaal	
perivasculair	perivasculaire
perinataal	perinatale
preklinisch	preklinische
pernicieus	pernicieuze
perifeer	perifere
postureel	posturele
emotioneel	emotionele
postnataal	postnatale
bevoorrecht	bevoorrechte
palliatief	
postoperatief	postoperatieve
precordiaal	precordiale
postmenopauzaal	postmenopauzale
diffuus	diffuse
perioraal	
paradoxaal	paradoxale
polymorf	polymorfe
preoperatief	preoperatieve
pathogeen	pathogene
premenstrueel	premenstruele
periduraal	peridurale
pathologisch	pathologische
presynaptisch	presynaptische
posterior	
postprandiaal	postprandiaale
proteolytisch	proteolytische
periodiek	periodieke
propulsief	propulsieve
prematuur	premature
pseudomembraneus	pseudomembraneuze
proportioneel	proportionele
fataal	fatale
potentieel	potentiële
peroperatief	peroperatieve
prurigineus	prurigineuze
proximaal	proximale
purulent	purulente
prenataal	prenatale
pustuleus	pustuleuze
psychiatrisch	psychiatrische
polyvalent	polyvalente
pulmonair	pulmonaire
psychotroop	psychotrope
psychogeen	psychogene
psychomotorisch	psychomotorische
purgatief	
reflectoor	reflectore
psychisch	psychische
alert	alerte
recidief	recidieve
recurrerend	recurrerende
slim	slimme
psychosomatisch	psychosomatische
pyogeen	pyogene
pyrogeen	pyrogene
radiologisch	radiologische
renovasculair	renovasculaire
conventioneel	conventionele
daadwerkelijk	daadwerkelijke
retrobulbair	retrobulbaire
renaal	renale
rectaal	rectale
parallel	
retrograad	retrograde
residuaal	residuale
saline	
retrosternaal	retrosternale
retinaal	retinale
revulsief	
respiratoir	respiratoire
saluretisch	saluretische
verheugd	verheugde
routinematig	routinematige
infaust	infauste
semisynthetisch	semisynthetische
sedentair	sedentaire
sensorieel	sensoriële
refractair	refractaire
septisch	septische
selectief	selectieve
simultaan	simultane
sinusaal	sinusale
quaternair	
somatisch	somatische
squameus	squameuze
significant	significante
spasmodisch	spasmodische
reversibel	reversibele
fundamenteel	fundamentele
soporatief	soporatieve
anaal	anale
serologisch	serologische
statistisch	statistische
subcapsulair	subcapsulaire
symptomatisch	symptomatische
subconjunctivaal	subconjunctivale
sporadisch	sporadische
kwantitatief	kwantitatieve
stomatologisch	stomatologische
supine	
thoracaal	thoracale
subklinisch	subklinische
synoviaal	synoviale
specifiek	specifieke
subcutaan	subcutane
synaptisch	synaptische
subacuut	subacute
suppressief	suppressieve
tegumentair	tegumentaire
testiculair	testiculaire
systolisch	systolische
spinaal	spinale
teratologisch	teratologische
klassiek	klassieke
tardief	tardieve
terminaal	terminale
therapeutisch	therapeutische
sublinguaal	sublinguale
toxicologisch	toxicologische
tricyclisch	tricyclische
tonisch	tonische
urogenitaal	urogenitale
transcutaan	transcutane
transuretraal	transuretrale
transdermaal	transdermale
tubulair	tubulaire
transitoir	transitoire
adequaat	adequate
vagolitisch	
teratogeen	teratogene
thermisch	thermische
ulcerogeen	ulcerogene
traumatisch	traumatische
vasoactief	vasoactieve
topisch	topische
vasomotorisch	vasomotorische
voluntarius	
urinair	urinaire
vesicaal	vesicale
trofisch	trofische
tuberculeus	tuberculeuze
unilateraal	unilaterale
psychologisch	psychologische
vaginaal	vaginale
trivalent	trivalente
vitreus	vitreuze
vasculair	vasculaire
vestibulair	vestibulaire
ventraal	ventrale
visceraal	viscerale
ventriculair	ventriculaire
viraal	virale
continu	continue
vegetatief	vegetatieve
vertebraal	vertebrale
venerisch	venerische
vulvair	vulvaire
veneus	veneuze
excessief	excessieve
blij	blije
primair	
analoog	analoge
resistent	resistente
dwarsscheeps	dwarsscheepse
labiel	labiele
primordiaal	primordiale
wijd	wijde
zeildoeks	zeildoekse
zeilree	
wak	
indirect	indirecte
equivalent	
schrepel	
langsscheeps	langsscheepse
passief	
zeilklaar	zeilklare
identiek	identieke
vierkantgetuigd	vierkantgetuigde
repetitief	repetitieve
voorlijk	
langsgetuigd	langsgetuigde
